CodDesPro,CodDesWH,Code,ProductGUID,Description,ReferenceManufactures,productcode,productwarehousecode,period,QuantityBalance,pwhDescription
01010100 - CAMISA MANGA LARGA BLANCA XXS,Sin asignar,01010100,684b37f8-9903-4414-8db8-9043fe181729,CAMISA MANGA LARGA BLANCA XXS,LEKAMP SAS,126258,-1,202511,-1.0,
01010100 - CAMISA MANGA LARGA BLANCA XXS,CONSIG01 - Inventario en consignación,01010100,684b37f8-9903-4414-8db8-9043fe181729,CAMISA MANGA LARGA BLANCA XXS,LEKAMP SAS,126258,39,202511,3.0,Inventario en consignación
01010101 - CAMISA MANGA LARGA BLANCA XS,CONSIG01 - Inventario en consignación,01010101,2ba642a3-3e85-4af9-9c7c-c2ae581b5c5f,CAMISA MANGA LARGA BLANCA XS,LEKAMP SAS,91675,39,202509,3.0,Inventario en consignación
01010101 - CAMISA MANGA LARGA BLANCA XS,Sin asignar,01010101,2ba642a3-3e85-4af9-9c7c-c2ae581b5c5f,CAMISA MANGA LARGA BLANCA XS,LEKAMP SAS,91675,-1,202509,-1.0,
01010102 - CAMISA MANGA LARGA BLANCA S,Sin asignar,01010102,109a25b1-036e-4433-9a10-0ca591277e1a,CAMISA MANGA LARGA BLANCA S,LEKAMP SAS,91676,-1,202601,-2.0,
01010102 - CAMISA MANGA LARGA BLANCA S,CONSIG01 - Inventario en consignación,01010102,109a25b1-036e-4433-9a10-0ca591277e1a,CAMISA MANGA LARGA BLANCA S,LEKAMP SAS,91676,39,202511,3.0,Inventario en consignación
01010103 - CAMISA MANGA LARGA BLANCA M,CONSIG01 - Inventario en consignación,01010103,69d22486-1c94-463d-b957-b9c35cd4f56f,CAMISA MANGA LARGA BLANCA M,LEKAMP SAS,91677,39,202511,3.0,Inventario en consignación
01010103 - CAMISA MANGA LARGA BLANCA M,Sin asignar,01010103,69d22486-1c94-463d-b957-b9c35cd4f56f,CAMISA MANGA LARGA BLANCA M,LEKAMP SAS,91677,-1,202601,-1.0,
01010104 - CAMISA MANGA LARGA BLANCA L,Sin asignar,01010104,c928495d-283d-4a3a-a2cd-0886a85a8609,CAMISA MANGA LARGA BLANCA L,LEKAMP SAS,91678,-1,202602,-3.0,
01010104 - CAMISA MANGA LARGA BLANCA L,CONSIG01 - Inventario en consignación,01010104,c928495d-283d-4a3a-a2cd-0886a85a8609,CAMISA MANGA LARGA BLANCA L,LEKAMP SAS,91678,39,202511,6.0,Inventario en consignación
01010105 - CAMISA MANGA LARGA BLANCA XL,CONSIG01 - Inventario en consignación,01010105,521b3583-6064-4618-a38d-38744dec1690,CAMISA MANGA LARGA BLANCA XL,LEKAMP SAS,91679,39,202511,3.0,Inventario en consignación
01010105 - CAMISA MANGA LARGA BLANCA XL,Sin asignar,01010105,521b3583-6064-4618-a38d-38744dec1690,CAMISA MANGA LARGA BLANCA XL,LEKAMP SAS,91679,-1,202512,-1.0,
01010106 - CAMISA MANGA LARGA BLANCA XXL,Sin asignar,01010106,f4b27012-0bac-4831-9350-d4f8e5931cbf,CAMISA MANGA LARGA BLANCA XXL,LEKAMP SAS,91681,-1,202510,-2.0,
01010106 - CAMISA MANGA LARGA BLANCA XXL,CONSIG01 - Inventario en consignación,01010106,f4b27012-0bac-4831-9350-d4f8e5931cbf,CAMISA MANGA LARGA BLANCA XXL,LEKAMP SAS,91681,39,202510,5.0,Inventario en consignación
01010202 - CAMISA MANGA LARGA AZUL S,CONSIG01 - Inventario en consignación,01010202,308ebc7c-5453-4a07-a28b-15869e4e09ea,CAMISA MANGA LARGA AZUL S,LEKAMP SAS,91684,39,202511,2.0,Inventario en consignación
01010202 - CAMISA MANGA LARGA AZUL S,Sin asignar,01010202,308ebc7c-5453-4a07-a28b-15869e4e09ea,CAMISA MANGA LARGA AZUL S,LEKAMP SAS,91684,-1,202511,-1.0,
01010203 - CAMISA MANGA LARGA AZUL M,Sin asignar,01010203,6650742c-b80d-4271-8317-bb15d0ecc02d,CAMISA MANGA LARGA AZUL M,LEKAMP  SAS,91685,-1,202512,-2.0,
