Code,Description,ReferenceManufactures,productcode,ProductGUID,bodega_origen,bodega_destino,periodos_consignacion,periodos_sin_asignar,cantidad_disponible,cantidad_negativa,cantidad_a_trasladar,cantidad_pendiente,estado
01010100,CAMISA MANGA LARGA BLANCA XXS,LEKAMP SAS,126258,684b37f8-9903-4414-8db8-9043fe181729,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,3.0,1.0,1.0,0.0,completo
01010101,CAMISA MANGA LARGA BLANCA XS,LEKAMP SAS,91675,2ba642a3-3e85-4af9-9c7c-c2ae581b5c5f,CONSIG01 - Inventario en consignación,Sin asignar,202509,202509,3.0,1.0,1.0,0.0,completo
01010102,CAMISA MANGA LARGA BLANCA S,LEKAMP SAS,91676,109a25b1-036e-4433-9a10-0ca591277e1a,CONSIG01 - Inventario en consignación,Sin asignar,202511,202601,3.0,2.0,2.0,0.0,completo
01010103,CAMISA MANGA LARGA BLANCA M,LEKAMP SAS,91677,69d22486-1c94-463d-b957-b9c35cd4f56f,CONSIG01 - Inventario en consignación,Sin asignar,202511,202601,3.0,1.0,1.0,0.0,completo
01010104,CAMISA MANGA LARGA BLANCA L,LEKAMP SAS,91678,c928495d-283d-4a3a-a2cd-0886a85a8609,CONSIG01 - Inventario en consignación,Sin asignar,202511,202602,6.0,3.0,3.0,0.0,completo
01010105,CAMISA MANGA LARGA BLANCA XL,LEKAMP SAS,91679,521b3583-6064-4618-a38d-38744dec1690,CONSIG01 - Inventario en consignación,Sin asignar,202511,202512,3.0,1.0,1.0,0.0,completo
01010106,CAMISA MANGA LARGA BLANCA XXL,LEKAMP SAS,91681,f4b27012-0bac-4831-9350-d4f8e5931cbf,CONSIG01 - Inventario en consignación,Sin asignar,202510,202510,5.0,2.0,2.0,0.0,completo
01010202,CAMISA MANGA LARGA AZUL S,LEKAMP SAS,91684,308ebc7c-5453-4a07-a28b-15869e4e09ea,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,2.0,1.0,1.0,0.0,completo
01010203,CAMISA MANGA LARGA AZUL M,LEKAMP  SAS,91685,6650742c-b80d-4271-8317-bb15d0ecc02d,CONSIG01 - Inventario en consignación,Sin asignar,202509,202512,3.0,2.0,2.0,0.0,completo
01010204,CAMISA MANGA LARGA AZUL L,LEKAMP SAS,91686,96022a4e-2b47-4c2b-a019-78430267c0e4,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,4.0,2.0,2.0,0.0,completo
01010205,CAMISA MANGA LARGA AZUL XL,LEKAMP SAS,91687,0e464d98-19a7-4b2b-be1a-a481acd2bb1f,CONSIG01 - Inventario en consignación,Sin asignar,202507,202507,2.0,1.0,1.0,0.0,completo
01010301,CAMISA MANGA LARGA CAQUI XS,LEKAMP SAS,91689,cad3271c-2a63-4078-ad55-666671d89cf6,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,3.0,1.0,1.0,0.0,completo
01010303,CAMISA MANGA LARGA CAQUI M,LEKAMP SAS,91691,80e9673a-5816-46b5-89d8-402d4000893a,CONSIG01 - Inventario en consignación,Sin asignar,202511,202602,3.0,2.0,2.0,0.0,completo
01010304,CAMISA MANGA LARGA CAQUI L,LEKAMP SAS,91692,21dbb4b1-a4a8-42e6-aae7-e8bf940290f8,CONSIG01 - Inventario en consignación,Sin asignar,202511,202602,4.0,4.0,4.0,0.0,completo
01010307,CAMISA MANGA LARGA CAQUI XXXL,LEKAMP SAS,91695,a764127f-b6ae-406e-b4ea-996389e85c8a,CONSIG01 - Inventario en consignación,Sin asignar,202508,202510,2.0,1.0,1.0,0.0,completo
01010401,CAMISA MANGA LARGA GRIS XS,LEKAMP SAS,91696,a708664c-68c1-4fa6-b881-f79bdde62f32,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,2.0,1.0,1.0,0.0,completo
01010402,CAMISA MANGA LARGA GRIS S,LEKAMP SAS,91697,b9890cf8-7f21-4be7-8e5d-d387ed2cec5c,CONSIG01 - Inventario en consignación,Sin asignar,202511,202601,3.0,2.0,2.0,0.0,completo
01010404,CAMISA MANGA LARGA GRIS L,LEKAMP SAS,91699,87ac6a71-87ee-4a75-9bb0-609828bec32b,CONSIG01 - Inventario en consignación,Sin asignar,202511,202602,4.0,3.0,3.0,0.0,completo
01010502,CAMISA MANGA LARGA VERDE S,LEKAMP SAS,91703,2a676042-298b-4147-9931-b1398a138cc4,CONSIG01 - Inventario en consignación,Sin asignar,202511,202512,2.0,1.0,1.0,0.0,completo
01010503,CAMISA MANGA LARGA VERDE M,LEKAMP SAS,91704,b4473c7d-9e0c-4af1-be34-23c19678ceaf,CONSIG01 - Inventario en consignación,Sin asignar,202511,202512,7.0,6.0,6.0,0.0,completo
01010504,CAMISA MANGA LARGA VERDE L,LEKAMP SAS,91705,fe1b7aab-ec84-4fb1-a82b-92d3fae24805,CONSIG01 - Inventario en consignación,Sin asignar,202511,202601,6.0,5.0,5.0,0.0,completo
01010506,CAMISA MANGA LARGA VERDE XXL,LEKAMP SAS,91707,a6c6d464-6d6d-4696-908b-16ce9da53a9b,CONSIG01 - Inventario en consignación,Sin asignar,202509,202509,3.0,1.0,1.0,0.0,completo
01010605,CAMISA MANGA LARGA NEGRA XL,LEKAMP SAS,91916,22987a7a-9e3b-4ea2-93d3-fa714dcf7487,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,2.0,1.0,1.0,0.0,completo
01010702,CAMISA MANGA LARGA CELESTE S,LEKAMP SAS,91920,2132eb76-e759-43ab-83b5-98d0edc8a109,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,2.0,1.0,1.0,0.0,completo
01010703,CAMISA MANGA LARGA CELESTE M,LEKAMP SAS,91921,ff864e56-dcb2-4541-a74a-d21dfb4465d3,CONSIG01 - Inventario en consignación,Sin asignar,202511,202601,4.0,3.0,3.0,0.0,completo
01010704,CAMISA MANGA LARGA CELESTE L,LEKAMP SAS,91922,2acb6024-0a33-4e19-bd45-6d2c1016d14f,CONSIG01 - Inventario en consignación,Sin asignar,202511,202512,3.0,2.0,2.0,0.0,completo
01010802,CAMISA MANGA LARGA CONCRETO S,LEKAMP SAS,91926,e14eed20-6ed8-4241-b488-dff38de93daa,CONSIG01 - Inventario en consignación,Sin asignar,202511,202603,2.0,2.0,2.0,0.0,completo
01010803,CAMISA MANGA LARGA CONCRETO M,LEKAMP SAS,91927,524393df-99e0-4207-abd7-125be4b6a275,CONSIG01 - Inventario en consignación,Sin asignar,202511,202602,3.0,3.0,3.0,0.0,completo
01010804,CAMISA MANGA LARGA CONCRETO L,LEKAMP SAS,91928,878e355a-1ab6-4e9b-9448-3121c1b135f4,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,3.0,1.0,1.0,0.0,completo
01020103,CAMISA MANGA CORTA BLANCA M,LEKAMP SAS,91932,f5aeb608-6419-4e0b-b6f9-2e4f96a252e4,CONSIG01 - Inventario en consignación,Sin asignar,202507,202507,2.0,1.0,1.0,0.0,completo
01020105,CAMISA MANGA CORTA BLANCA XL,LEKAMP SAS,91934,c7b400b0-ceae-4903-b202-7549b42b778d,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,2.0,1.0,1.0,0.0,completo
01020106,CAMISA MANGA CORTA BLANCA XXL,LEKAMP SAS,91935,1623994f-74a3-4079-9f4a-1e673b7f132e,CONSIG01 - Inventario en consignación,Sin asignar,202507,202510,2.0,1.0,1.0,0.0,completo
01020301,CAMISA MANGA CORTA CAQUI XS,LEKAMP SAS,91944,157bc021-7702-4758-b302-8b8773e9ecf5,CONSIG01 - Inventario en consignación,Sin asignar,202511,202602,4.0,2.0,2.0,0.0,completo
01020402,CAMISA MANGA CORTA GRIS S,LEKAMP SAS,91952,94389cb1-f5ad-40b6-b7ad-81fa6f8fc7f8,CONSIG01 - Inventario en consignación,Sin asignar,202507,202602,2.0,1.0,1.0,0.0,completo
01020501,CAMISA MANGA CORTA VERDE XS,LEKAMP SAS,91958,056cecb0-02ef-4c6d-939d-e6abaf23c9f1,CONSIG01 - Inventario en consignación,Sin asignar,202506,202512,1.0,1.0,1.0,0.0,completo
01020503,CAMISA MANGA CORTA VERDE M,LEKAMP SAS,91960,d9abf418-02ff-400b-a245-a4b66bee9562,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,2.0,1.0,1.0,0.0,completo
01020504,CAMISA MANGA CORTA VERDE L,LEKAMP SAS,91961,5650132d-4bd2-43e7-9333-ef22f8a43057,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,2.0,1.0,1.0,0.0,completo
01020505,CAMISA MANGA CORTA VERDE XL,LEKAMP SAS,91962,498fe85e-a361-49ee-a73a-2bcf31354b4e,CONSIG01 - Inventario en consignación,Sin asignar,202511,202511,2.0,1.0,1.0,0.0,completo
01020602,CAMISA MANGA CORTA NEGRA S,LEKAMP SAS,91966,f196c2ef-ebb6-40af-8cad-5a6ad2b14335,CONSIG01 - Inventario en consignación,Sin asignar,202506,202512,1.0,1.0,1.0,0.0,completo
01020702,CAMISA MANGA CORTA CELESTE S,LEKAMP SAS,91972,f2680ff9-7174-4871-a890-bae699f6e644,CONSIG01 - Inventario en consignación,Sin asignar,202507,202510,2.0,1.0,1.0,0.0,completo
01020706,CAMISA MANGA CORTA CELESTE XXL,LEKAMP SAS,91976,32e15150-495e-4643-87da-3730758b8ee0,CONSIG01 - Inventario en consignación,Sin asignar,202506,202512,1.0,1.0,1.0,0.0,completo
